scenery_v002_source,art-source/scenery_v002_build.py,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_copper_basecolor,assets/production/scenery-v002/textures/CW_v2_copper_BaseColor.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_copper_normal,assets/production/scenery-v002/textures/CW_v2_copper_Normal.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_copper_orm,assets/production/scenery-v002/textures/CW_v2_copper_ORM.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_floor_basecolor,assets/production/scenery-v002/textures/CW_v2_floor_BaseColor.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_floor_normal,assets/production/scenery-v002/textures/CW_v2_floor_Normal.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_floor_orm,assets/production/scenery-v002/textures/CW_v2_floor_ORM.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_oxide_basecolor,assets/production/scenery-v002/textures/CW_v2_oxide_BaseColor.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_oxide_normal,assets/production/scenery-v002/textures/CW_v2_oxide_Normal.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
scenery_v002_cw_v2_oxide_orm,assets/production/scenery-v002/textures/CW_v2_oxide_ORM.png,original: Blender 5.2.1 LTS procedural source; no external assets,Game Studio / Codex,Original project content; studio distribution licence unset,assets/production/scenery-v002/source-artifact-index.json,Original layered foundry scenery and matte PBR surfaces using existing project helpers,source-and-FBX-verified; Unreal and human visual acceptance pending
